id,petition_title,signature
614009,Abolish no recourse to public funds (NRPF) visa conditions,100
619484,Limit rent charges on new shared ownership properties to ground rent,99
619166,Introduce a ‘Transparency Law’ requiring social workers to wear body cameras,99
615807,Change DLA to PIP age from 16 years old to 18 years old,99
615264,Require all educational establishments to have CCTV outside toilets,99
611292,Ensure households housing refugees do not lose the 25% single person discount,99
621824,Suspend school uniform for 12 months,98
620976,Make all unwanted online sexual communication a criminal offence,98
621636,Require broadcasters to provide subtitles & audio description of all programmes,97
619064,Fund research and awareness campaign on Pelvic Organ Prolapse,97
